Employee_Name,EmpID,MarriedID,MaritalStatusID,GenderID,EmpStatusID,RoleID,LevelID,PerfScoreID,Tribe,Squad,DOB,RaceDesc,DateofHire,DateofTermination,TermReason,EmploymentStatus,RecruitmentSource,EngagementSurvey,EngangementSurveyRound,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Absences
A Ridwan,10001,Belum Menikah,Single,L,TKP/ Outsource,Product Owner,Senior,Exceed,EWD,Evaluate,07/10/1983,Sunda,05/07/2011,,N/A-StillEmployed,Active,LinkedIn,4 6,5,5,0,17/01/2020,0,1
Ade Setyanto,10002,Belum Menikah,Single,L,TKP/ Outsource,Product Owner,Senior,Fully meets,EWD,Pay,05/05/1975,Sunda,30/03/2015,16/06/2018,career change,Voluntarily Terminated,Indeed,4 96,5,3,6,24/02/2017,0,17
Adhitya Bramantya Ranggatyasta,10003,Menikah,Pernah Menikah/Bercerai,P,TKP/ Outsource,Product Owner,Senior,Average,ENT,HunianAja,09/19/88,Jawa,05/07/2011,24/09/2014,hours,Voluntarily Terminated,LinkedIn,3 02,3,3,0,15/05/2013,0,3
Adji Wijaya Kusuma,10004,Belum Menikah,Single,P,TKP/ Outsource,Business Analyst,Middle,Exceed,ENT,Intermoda,09/27/88,Cina,07/01/2008,,N/A-StillEmployed,Active,Indeed,4 84,5,5,0,03/01/2020,0,15
Agus Andri Putra,10005,Belum Menikah,Single,P,Prohire,Business Analyst,Middle,Average,EDU,Squad Pijar Sekolah,09/08/1989,Bali,11/07/2011,06/09/2018,return to school,Voluntarily Terminated,Google Search,5,5,4,0,01/02/2017,0,2
Ahmad Dwi Nugroho,10006,Menikah,Married,P,TKP/ Outsource,Product Owner,Senior,Exceed,COM,ChatAja,05/22/77,Bali,09/01/2012,,N/A-StillEmployed,Active,LinkedIn,5,5,5,0,07/01/2020,0,15
Ahmad Faiz,10007,Menikah,Married,P,TKP/ Outsource,Business Analyst,Junior,Average,COM,Vutura,05/24/79,Padang,10/11/2014,,N/A-StillEmployed,Active,LinkedIn,3 04,3,3,4,02/01/2020,0,19
Ahmad Hari Ramadhan,10008,Menikah,Pernah Menikah/Bercerai,L,TKP/ Outsource,Business Analyst,Junior,Exceed,ENT,Intermoda,02/18/83,Jawa,30/09/2013,,N/A-StillEmployed,Active,Employee Referral,5,5,4,0,25/02/2020,0,19
Ahmad Iswandi,10009,Belum Menikah,Single,P,TKP/ Outsource,Business Analyst,Middle,Exceed,EWD,Sales Cycle  ,02/11/1970,Sunda,06/07/2009,,N/A-StillEmployed,Active,Diversity Job Fair,4 46,4,3,0,25/01/2020,0,4
Ahmad Khaerul,10010,Menikah,Widowed,L,TKP/ Outsource,Product Owner,Middle,Need improvement,EWD,Activate & Install,01/07/1988,Cina,05/01/2015,,N/A-StillEmployed,Active,Indeed,5,5,5,6,18/02/2020,0,16
Ahmad Luthfi Mahar,10011,Menikah,Pernah Menikah/Bercerai,P,TKP/ Outsource,Product Owner,Junior,Fully meets,COM,ChatAja,01/12/1974,Jawa,10/01/2011,12/01/2019,Another position,Voluntarily Terminated,Diversity Job Fair,4 2,4,4,0,30/01/2017,0,12
Akhdiyat Restu Fiqih,10012,Menikah,Pernah Menikah/Bercerai,L,TKP/ Outsource,Product Owner,Junior,Fully meets,COM,UMEETME,02/21/74,Bali,02/04/2012,19/09/2018,unhappy,Voluntarily Terminated,Diversity Job Fair,4 2,4,3,0,06/05/2017,0,15
Alifia Sarah Mardiani,10013,Belum Menikah,Single,L,TKP/ Outsource,Business Analyst,Middle,Need improvement,EWD,Core Domain,07/04/1988,Bali,10/11/2014,,N/A-StillEmployed,Active,Diversity Job Fair,4 28,4,4,5,25/02/2020,0,9
Alwi Khairan Akhmad,10014,Belum Menikah,Single,L,TKP/ Outsource,Product Owner,Junior,Fully meets,EWD,Evaluate,07/20/83,Sunda,20/02/2012,,N/A-StillEmployed,Active,Google Search,4 6,5,4,0,14/02/2020,0,7
Amalia Erza Syafitri,10015,Menikah,Married,L,TKP/ Outsource,UI Designer,Junior,Special treatment,EWD,Pay,07/15/77,Cina,24/09/2012,06/04/2019,Another position,Voluntarily Terminated,On-line Web application,5,5,5,0,02/03/2018,0,1
Amalia Nurul Hidayah,10016,Belum Menikah,Single,L,TKP/ Outsource,UX Designer,Junior,Fully meets,EWD,Sales Cycle,10/18/81,Bali,21/02/2011,04/08/2019,attendance,Terminated for Cause,Google Search,5,5,4,0,05/04/2018,0,20
Andi Yayang Friandi,10017,Belum Menikah,Single,P,TKP/ Outsource,UI Designer,Senior,Fully meets,HLT,PeduliLindungi,04/17/66,Jawa,21/07/2016,,N/A-StillEmployed,Active,Employee Referral,4 4,4,3,0,14/01/2020,0,16
Andika Junisar Putri,10018,Menikah,Pernah Menikah/Bercerai,P,Prohire,UX Designer,Junior,Exceed,COM,OCA,10/27/70,Cina,04/04/2011,,N/A-StillEmployed,Active,Google Search,5,5,5,0,14/01/2020,0,12
Andre,10019,Belum Menikah,Single,P,Prohire,UI Designer,Junior,Fully meets,EDU,Squad Pijar Sekolah,04/04/1986,Padang,07/07/2014,12/09/2017,performance,Terminated for Cause,Google Search,4 5,5,4,5,15/01/2016,0,8
Andri Istiawan,10020,Belum Menikah,Single,L,Prohire,UI Designer,Junior,Special treatment,EWD,Core Domain,04/06/1979,Jawa,08/07/2013,,N/A-StillEmployed,Active,LinkedIn,4 2,4,4,0,11/01/2020,0,13
Andry Purnawati,10021,Belum Menikah,Single,L,TKP/ Outsource,UX Designer,Junior,Average,EWD,Sales Cycle  ,12/22/70,Sunda,02/04/2012,,N/A-StillEmployed,Active,Google Search,5,5,3,0,14/01/2020,0,13
Anita Dwi Kusrini,10022,Menikah,Married,P,TKP/ Outsource,UI Designer,Junior,Special treatment,FIN,Inpoin,12/27/58,Cina,19/08/2013,,N/A-StillEmployed,Active,Indeed,4 2,4,3,0,10/01/2020,0,2
Anjas Syarifudin Maharesi,10023,Menikah,Pernah Menikah/Bercerai,P,Prohire,UX Writer,Senior,Fully meets,FIN,MPS,09/01/1989,Jawa,07/07/2014,,N/A-StillEmployed,Active,Indeed,5,5,3,0,27/02/2020,0,19
